year,mean
1980-01-01,0.20991666666666667
1981-01-01,0.22425
1982-01-01,0.22358333333333333
1983-01-01,0.21783333333333332
1984-01-01,0.21341666666666667
1985-01-01,0.21191666666666667
1986-01-01,0.20841666666666667
1987-01-01,0.20541666666666666
1988-01-01,0.21408333333333335
1989-01-01,0.24458333333333335
1990-01-01,0.24975
1991-01-01,0.23358333333333334
1992-01-01,0.243
1993-01-01,0.23441666666666666
1994-01-01,0.23108333333333334
1995-01-01,0.24541666666666667
1996-01-01,0.2876666666666667
1997-01-01,0.30191666666666667
1998-01-01,0.29983333333333334
1999-01-01,0.29391666666666666
2000-01-01,0.29025
2001-01-01,0.30233333333333334
2002-01-01,0.3115
2003-01-01,0.31166666666666665
2004-01-01,0.3025833333333333
2005-01-01,0.3239166666666667
2006-01-01,0.32866666666666666
2007-01-01,0.36024999999999996
2008-01-01,0.5066666666666667
2009-01-01,0.5010833333333333
2010-01-01,0.47691666666666666
2011-01-01,0.5180833333333333
2012-01-01,0.5169166666666667
2013-01-01,0.5215833333333334
2014-01-01,0.5298333333333334
2015-01-01,0.5166666666666667
2016-01-01,0.525
2017-01-01,0.50725
2018-01-01,0.46175
2019-01-01,0.44116666666666665
2020-01-01,0.45136363636363636
2021-01-01,0.40375
2022-01-01,0.424
